ID,Pregunta,OpcionA,OpcionB,OpcionC,OpcionD,RespuestaCorrecta,Dificultad,Tema
1,Cual es la salida de print(5 // 2)?,2.5,2,3,2.0,B,Facil,Operadores Aritmeticos
2,Que funcion obtiene la longitud de una lista?,size(),length(),len(),count(),C,Facil,Funciones Built-in
3,Cual es el resultado de 3 ** 2?,6,8,9,12,C,Facil,Operadores Aritmeticos
4,Que metodo agrega un elemento al final de una lista?,add(),append(),insert(),push(),B,Facil,Listas
5,"Cual es la salida de for i in range(3): print(i, end=' ')?",0 1 2,1 2 3,0 1 2 3,1 2 3 4,A,Media,Bucles
6,Que palabra clave define una funcion?,function,def,define,func,B,Facil,Funciones
7,"Cual es la salida de lista[1]=5 en [1,2,3]?","[1,2,3]","[5,2,3]","[1,5,3]",Error,C,Media,Listas
8,Que hace el operador 'is'?,Compara valores,Compara identidad,Compara tipos,Compara igualdad,B,Media,Operadores de Identidad
9,Como se crea un diccionario?,"{1,2,3}","[1,2,3]",{'nombre': 'Juan'},"('nombre','Juan')",C,Facil,Diccionarios
10,Que funcion lee entrada del usuario?,read(),input(),scan(),get(),B,Facil,Entrada/Salida
11,Cual es la salida de bool([])?,True,False,Error,None,B,Media,Tipos de Datos
12,Que metodo elimina el ultimo elemento de una lista?,remove(),pop(),delete(),discard(),B,Media,Listas
13,Cual es el resultado de 'Hola' * 2?,'HolaHola','Hola2',Error,'Hola Hola',A,Facil,Strings
14,Que palabra clave se usa para manejar excepciones?,try,catch,except,throw,A,Media,Manejo de Errores
15,Cual es la salida de len(range(5))?,4,5,6,Error,B,Media,Funciones Built-in
16,Como se accede al primer elemento de una lista llamada 'datos'?,datos[0],datos[1],datos.first(),datos[0:],A,Facil,Listas
17,Que funcion convierte un string a entero?,str(),int(),float(),char(),B,Facil,Conversion de Tipos
18,Cual es la salida de print(10 % 3)?,1,3,0,2,A,Facil,Operadores Aritmeticos
19,Que metodo convierte una lista en un string?,join(),split(),concat(),merge(),A,Media,Strings
20,Cual es la salida de type([])?,list,array,tuple,dict,A,Facil,Tipos de Datos
21,Que operador se usa para concatenar strings?,+,&,.,*,A,Facil,Strings
22,Cual es la salida de 'Python'[0]?,P,y,t,h,A,Facil,Strings
23,Que metodo cuenta las ocurrencias de un elemento en una lista?,count(),len(),size(),total(),A,Media,Listas
24,Cual es la salida de 5 == 5.0?,True,False,Error,None,A,Media,Comparaciones
25,Que palabra clave se usa para crear una clase?,class,object,def,struct,A,Facil,Programacion Orientada a Objetos
26,Cual es la salida de print(2 * 3 + 4)?,10,14,12,16,A,Facil,Operadores Aritmeticos
27,Como se comenta una linea en Python?,//,#,/*,--,B,Facil,Sintaxis Basica
28,Que metodo ordena una lista?,sort(),order(),arrange(),sorted(),A,Media,Listas
29,Cual es la salida de bool('')?,True,False,Error,None,B,Media,Tipos de Datos
30,Que funcion devuelve el valor absoluto de un numero?,abs(),absolute(),mod(),pos(),A,Facil,Funciones Built-in
31,Cual es la salida de len('Python')?,5,6,7,8,B,Facil,Strings
32,Como se declara una variable en Python?,var x = 5,x = 5,int x = 5,$x = 5,B,Facil,Variables
33,"Cual es la salida de max([1,5,3])?",1,3,5,8,C,Facil,Funciones Built-in
34,Que metodo elimina un elemento por su valor?,remove(),pop(),delete(),discard(),A,Media,Listas
35,Cual es la salida de print(2 ** 3)?,6,8,9,12,B,Facil,Operadores Aritmeticos
36,Que funcion devuelve el numero de elementos de un objeto?,len(),count(),size(),length(),A,Facil,Funciones Built-in
37,"Cual es la salida de bool([1,2,3])?",True,False,Error,None,A,Media,Tipos de Datos
38,Como se accede al ultimo elemento de una lista?,lista[-1],lista[ultimo],lista[-2],lista[0],A,Media,Listas
39,Que operador se usa para comparar si dos valores son iguales?,=,==,===,!=,B,Facil,Operadores de Comparacion
40,Cual es la salida de 'Python'[::-1]?,'nohtyP','Python','noht yP','Pyt hon',A,Media,Strings
41,Que funcion convierte un numero a string?,str(),int(),float(),char(),A,Facil,Conversion de Tipos
42,Cual es la salida de 7 // 3?,2,2.33,3,2.0,A,Facil,Operadores Aritmeticos
43,Como se crea una tupla?,"(1,2,3)","[1,2,3]","{1,2,3}","[1,2,3]",A,Facil,Tuplas
44,Que metodo agrega todos los elementos de una lista a otra?,extend(),append(),add(),merge(),A,Media,Listas
45,"Cual es la salida de sum([1,2,3])?",5,6,7,8,B,Facil,Funciones Built-in
46,Que palabra clave se usa para salir de un bucle?,exit,break,continue,return,B,Facil,Bucles
47,Cual es la salida de 'Python'[1:4]?,yth,Pyt,hon,ytho,A,Media,Strings
48,Que operador verifica si un elemento esta en una lista?,in,has,contains,inside,A,Facil,Operadores de Pertenencia
49,Cual es la salida de print(round(3.7))?,3,4,3.5,4.0,B,Facil,Funciones Built-in
50,Que metodo convierte un string a lista de caracteres?,list(),split(),char(),toList(),A,Media,Conversion de Tipos
